week_start,town,county,drug,signal,units_sold,drug_weight
2023-01-02,Kisumu,Kisumu,Coartem,malaria,114,0.95
2023-01-09,Kisumu,Kisumu,Coartem,malaria,123,0.95
2023-01-16,Kisumu,Kisumu,Coartem,malaria,116,0.95
2023-01-23,Kisumu,Kisumu,Coartem,malaria,145,0.95
2023-01-30,Kisumu,Kisumu,Coartem,malaria,127,0.95
2023-02-06,Kisumu,Kisumu,Coartem,malaria,124,0.95
2023-02-13,Kisumu,Kisumu,Coartem,malaria,129,0.95
2023-02-20,Kisumu,Kisumu,Coartem,malaria,78,0.95
2023-02-27,Kisumu,Kisumu,Coartem,malaria,68,0.95
2023-03-06,Kisumu,Kisumu,Coartem,malaria,66,0.95
2023-03-13,Kisumu,Kisumu,Coartem,malaria,78,0.95
2023-03-20,Kisumu,Kisumu,Coartem,malaria,115,0.95
2023-03-27,Kisumu,Kisumu,Coartem,malaria,107,0.95
2023-04-03,Kisumu,Kisumu,Coartem,malaria,105,0.95
2023-04-10,Kisumu,Kisumu,Coartem,malaria,167,0.95
2023-04-17,Kisumu,Kisumu,Coartem,malaria,129,0.95
2023-04-24,Kisumu,Kisumu,Coartem,malaria,126,0.95
2023-05-01,Kisumu,Kisumu,Coartem,malaria,87,0.95
2023-05-08,Kisumu,Kisumu,Coartem,malaria,85,0.95
2023-05-15,Kisumu,Kisumu,Coartem,malaria,73,0.95
2023-05-22,Kisumu,Kisumu,Coartem,malaria,76,0.95
2023-05-29,Kisumu,Kisumu,Coartem,malaria,116,0.95
2023-06-05,Kisumu,Kisumu,Coartem,malaria,113,0.95
2023-06-12,Kisumu,Kisumu,Coartem,malaria,128,0.95
2023-06-19,Kisumu,Kisumu,Coartem,malaria,124,0.95
2023-06-26,Kisumu,Kisumu,Coartem,malaria,171,0.95
2023-07-03,Kisumu,Kisumu,Coartem,malaria,124,0.95
2023-07-10,Kisumu,Kisumu,Coartem,malaria,93,0.95
2023-07-17,Kisumu,Kisumu,Coartem,malaria,103,0.95
2023-07-24,Kisumu,Kisumu,Coartem,malaria,59,0.95
2023-07-31,Kisumu,Kisumu,Coartem,malaria,95,0.95
2023-08-07,Kisumu,Kisumu,Coartem,malaria,78,0.95
2023-08-14,Kisumu,Kisumu,Coartem,malaria,100,0.95
2023-08-21,Kisumu,Kisumu,Coartem,malaria,138,0.95
2023-08-28,Kisumu,Kisumu,Coartem,malaria,152,0.95
2023-09-04,Kisumu,Kisumu,Coartem,malaria,137,0.95
2023-09-11,Kisumu,Kisumu,Coartem,malaria,122,0.95
2023-09-18,Kisumu,Kisumu,Coartem,malaria,105,0.95
2023-09-25,Kisumu,Kisumu,Coartem,malaria,72,0.95
2023-10-02,Kisumu,Kisumu,Coartem,malaria,64,0.95
2023-10-09,Kisumu,Kisumu,Coartem,malaria,86,0.95
2023-10-16,Kisumu,Kisumu,Coartem,malaria,128,0.95
2023-10-23,Kisumu,Kisumu,Coartem,malaria,131,0.95
2023-10-30,Kisumu,Kisumu,Coartem,malaria,98,0.95
2023-11-06,Kisumu,Kisumu,Coartem,malaria,143,0.95
2023-11-13,Kisumu,Kisumu,Coartem,malaria,126,0.95
2023-11-20,Kisumu,Kisumu,Coartem,malaria,112,0.95
2023-11-27,Kisumu,Kisumu,Coartem,malaria,120,0.95
2023-12-04,Kisumu,Kisumu,Coartem,malaria,106,0.95
2023-12-11,Kisumu,Kisumu,Coartem,malaria,82,0.95
2023-12-18,Kisumu,Kisumu,Coartem,malaria,80,0.95
2023-12-25,Kisumu,Kisumu,Coartem,malaria,328,0.95
2024-01-01,Kisumu,Kisumu,Coartem,malaria,301,0.95
2024-01-08,Kisumu,Kisumu,Coartem,malaria,394,0.95
2024-01-15,Kisumu,Kisumu,Coartem,malaria,360,0.95
2024-01-22,Kisumu,Kisumu,Coartem,malaria,405,0.95
2024-01-29,Kisumu,Kisumu,Coartem,malaria,356,0.95
2024-02-05,Kisumu,Kisumu,Coartem,malaria,110,0.95
2024-02-12,Kisumu,Kisumu,Coartem,malaria,140,0.95
2024-02-19,Kisumu,Kisumu,Coartem,malaria,132,0.95
2024-02-26,Kisumu,Kisumu,Coartem,malaria,91,0.95
2024-03-04,Kisumu,Kisumu,Coartem,malaria,83,0.95
2024-03-11,Kisumu,Kisumu,Coartem,malaria,97,0.95
2024-03-18,Kisumu,Kisumu,Coartem,malaria,99,0.95
2024-03-25,Kisumu,Kisumu,Coartem,malaria,131,0.95
2024-04-01,Kisumu,Kisumu,Coartem,malaria,164,0.95
2024-04-08,Kisumu,Kisumu,Coartem,malaria,136,0.95
2024-04-15,Kisumu,Kisumu,Coartem,malaria,165,0.95
2024-04-22,Kisumu,Kisumu,Coartem,malaria,76,0.95
2024-04-29,Kisumu,Kisumu,Coartem,malaria,124,0.95
2024-05-06,Kisumu,Kisumu,Coartem,malaria,93,0.95
2024-05-13,Kisumu,Kisumu,Coartem,malaria,176,0.95
2024-05-20,Kisumu,Kisumu,Coartem,malaria,239,0.95
2024-05-27,Kisumu,Kisumu,Coartem,malaria,198,0.95
2024-06-03,Kisumu,Kisumu,Coartem,malaria,919,0.95
2024-06-10,Kisumu,Kisumu,Coartem,malaria,1075,0.95
2024-06-17,Kisumu,Kisumu,Coartem,malaria,1276,0.95
2024-06-24,Kisumu,Kisumu,Coartem,malaria,368,0.95
2024-07-01,Kisumu,Kisumu,Coartem,malaria,326,0.95
2024-07-08,Kisumu,Kisumu,Coartem,malaria,304,0.95
2024-07-15,Kisumu,Kisumu,Coartem,malaria,105,0.95
2024-07-22,Kisumu,Kisumu,Coartem,malaria,76,0.95
2024-07-29,Kisumu,Kisumu,Coartem,malaria,149,0.95
2024-08-05,Kisumu,Kisumu,Coartem,malaria,209,0.95
2024-08-12,Kisumu,Kisumu,Coartem,malaria,222,0.95
2024-08-19,Kisumu,Kisumu,Coartem,malaria,269,0.95
2024-08-26,Kisumu,Kisumu,Coartem,malaria,215,0.95
2024-09-02,Kisumu,Kisumu,Coartem,malaria,224,0.95
2024-09-09,Kisumu,Kisumu,Coartem,malaria,117,0.95
2024-09-16,Kisumu,Kisumu,Coartem,malaria,86,0.95
2024-09-23,Kisumu,Kisumu,Coartem,malaria,96,0.95
2024-09-30,Kisumu,Kisumu,Coartem,malaria,75,0.95
2024-10-07,Kisumu,Kisumu,Coartem,malaria,92,0.95
2024-10-14,Kisumu,Kisumu,Coartem,malaria,106,0.95
2024-10-21,Kisumu,Kisumu,Coartem,malaria,98,0.95
2024-10-28,Kisumu,Kisumu,Coartem,malaria,125,0.95
2024-11-04,Kisumu,Kisumu,Coartem,malaria,130,0.95
2024-11-11,Kisumu,Kisumu,Coartem,malaria,118,0.95
2024-11-18,Kisumu,Kisumu,Coartem,malaria,121,0.95
2024-11-25,Kisumu,Kisumu,Coartem,malaria,117,0.95
2024-12-02,Kisumu,Kisumu,Coartem,malaria,118,0.95
2024-12-09,Kisumu,Kisumu,Coartem,malaria,74,0.95
2024-12-16,Kisumu,Kisumu,Coartem,malaria,96,0.95
2024-12-23,Kisumu,Kisumu,Coartem,malaria,109,0.95
2024-12-30,Kisumu,Kisumu,Coartem,malaria,66,0.95
2023-01-02,Kisumu,Kisumu,Panadol,malaria,344,0.4
