town,county,week_start,Amoxicillin,Coartem,Flagyl,Imodium,ORS,Panadol,Piriton,Septrin,Coartem_baseline,Coartem_ratio,Panadol_baseline,Panadol_ratio,Flagyl_baseline,Flagyl_ratio,ORS_baseline,ORS_ratio,Imodium_baseline,Imodium_ratio,Septrin_baseline,Septrin_ratio,Amoxicillin_baseline,Amoxicillin_ratio,Piriton_baseline,Piriton_ratio,score_malaria,score_gi,score_respiratory,score_composite,alert_level,rainfall_mm,humidity_pct
Emali,Makueni,2023-01-02,35,23,97,96,157,128,44,54,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,GREEN,4.1,48.7
Emali,Makueni,2023-01-09,30,34,104,79,734,134,40,34,23.0,1.4782608695652173,128.0,1.046875,97.0,1.0721649484536082,157.0,4.67515923566879,96.0,0.8229166666666666,54.0,0.6296296296296297,35.0,0.8571428571428571,44.0,0.9090909090909091,0.237,0.82,0.0,0.36995,AMBER,9.0,49.2
Emali,Makueni,2023-01-16,34,53,176,121,729,230,42,41,28.5,1.8596491228070176,131.0,1.7557251908396947,100.5,1.7512437810945274,445.5,1.6363636363636365,87.5,1.3828571428571428,44.0,0.9318181818181818,32.5,1.0461538461538462,42.0,1.0,0.559,0.472,0.012,0.36445,AMBER,5.6,47.8
Emali,Makueni,2023-01-23,32,58,138,139,970,169,33,52,36.666666666666664,1.581818181818182,164.0,1.0304878048780488,125.66666666666667,1.0981432360742704,540.0,1.7962962962962963,98.66666666666667,1.4087837837837838,43.0,1.2093023255813953,33.0,0.9696969696969697,42.0,0.7857142857142857,0.282,0.336,0.056,0.2331,AMBER,6.4,47.5
Emali,Makueni,2023-01-30,37,39,155,121,536,156,42,42,42.0,0.9285714285714286,165.25,0.9440242057488654,128.75,1.203883495145631,647.5,0.8277992277992278,108.75,1.1126436781609195,45.25,0.9281767955801105,32.75,1.1297709923664123,39.75,1.0566037735849056,0.0,0.084,0.042,0.041999999999999996,GREEN,5.4,45.4
Emali,Makueni,2023-02-06,43,46,142,115,634,136,53,54,46.0,1.0,172.25,0.7895500725689405,143.25,0.9912739965095986,742.25,0.8541596497137083,115.0,1.0,42.25,1.2781065088757397,33.25,1.2932330827067668,39.25,1.3503184713375795,0.0,0.0,0.206,0.061799999999999994,GREEN,5.1,47.0
Emali,Makueni,2023-02-13,39,56,116,83,557,184,50,52,49.0,1.1428571428571428,172.75,1.065123010130246,152.75,0.7594108019639935,717.25,0.7765772046009063,124.0,0.6693548387096774,47.25,1.1005291005291005,36.5,1.0684931506849316,42.5,1.1764705882352942,0.081,0.0,0.073,0.05025,GREEN,3.7,49.6
Emali,Makueni,2023-02-20,120,38,134,106,240,272,79,65,49.75,0.7638190954773869,161.25,1.6868217054263566,137.75,0.9727767695099818,674.25,0.3559510567296997,114.5,0.925764192139738,50.0,1.3,37.75,3.1788079470198674,44.5,1.7752808988764044,0.137,0.0,0.754,0.27415,AMBER,4.8,49.5
Emali,Makueni,2023-02-27,152,35,112,68,172,271,60,75,44.75,0.7821229050279329,187.0,1.4491978609625669,136.75,0.8190127970749543,491.75,0.3497712252160651,106.25,0.64,53.25,1.408450704225352,59.75,2.5439330543933054,56.0,1.0714285714285714,0.09,0.0,0.507,0.18359999999999999,AMBER,9.6,50.1
Emali,Makueni,2023-03-06,158,34,81,71,154,200,56,82,43.75,0.7771428571428571,215.75,0.9269988412514485,126.0,0.6428571428571429,400.75,0.38427947598253276,93.0,0.7634408602150538,61.5,1.3333333333333333,88.5,1.7853107344632768,60.5,0.9256198347107438,0.0,0.0,0.285,0.08549999999999999,GREEN,15.3,48.0
